,character,episode,line,season,show,characters_spoken,words_spoken
11451,Squidward,10,  I knew I shouldn't have gotten out of bed today.,5,SpongeBob SquarePants,50,10
11452,SpongeBob,10, ♪La la la la laaaaaaa... la la la la!♪,5,SpongeBob SquarePants,43,9
11453,Mr. Krabs,10," Hello, and welcome one, and all your money to ye olde Krusty Krabbie!",5,SpongeBob SquarePants,70,13
11455,Squidward,10, ,5,SpongeBob SquarePants,1,0
11457,Squidward,10, Okay. But first let me call the mortician and tell him his uniform's been stolen.  Clothing zinger!,5,SpongeBob SquarePants,100,17
11458,Mr. Krabs,10," Squidward! These wretched hags-I mean, these little lovely ladies-are obviously here to eat. So let's sell 'em- I mean, serve them some delicious Krabby Patties!",5,SpongeBob SquarePants,162,25
11460,Mr. Krabs,10,"  Krabs, my lady. ",5,SpongeBob SquarePants,18,3
11462,Mr. Krabs,10," 'Course ya did, because you're about to find out. SpongeBob!",5,SpongeBob SquarePants,61,10
11463,SpongeBob,10,  ♪Aaaaaaaaaaaaaaaaaaah... I like Krabby Patties! I think they're swell.  I like Krabby Patties And you cannot tell.  Krabby Patties Krabby Patties.  They're so neat.  La la la la la. Sweet to eat.  La la la la la. Really neat. Really neat.  Treat that's neat.  Sweet treat sweet treat.  La la la la la la la la laaaaaaaa!♪,5,SpongeBob SquarePants,327,57
11465,SpongeBob,10," Actually, ma'am,  it was the absolute fun and deliciousness of a Krabby Patty.",5,SpongeBob SquarePants,79,13
11467,SpongeBob,10," Yeah, that's right.",5,SpongeBob SquarePants,20,3
11469,Mr. Krabs,10,"  Who are you with your tight lips, raised eyebrows, and conservative clothes?",5,SpongeBob SquarePants,78,12
11471,Mr. Krabs,10, What the...! ,5,SpongeBob SquarePants,14,2
11472,SpongeBob,10," Ms. Gristlepuss, maybe if you were to taste the Krabby Patty for yourself, you too could experience the awesome pleasure.",5,SpongeBob SquarePants,122,20
11474,SpongeBob,10, Ooh! Okay.,5,SpongeBob SquarePants,11,2
11475,Mr. Krabs,10," Ah, it don't matter anyway, lad.  She can't close us down.",5,SpongeBob SquarePants,59,11
11476,Mr. Krabs,10,  She closed us down! I'm ruined!  Curse ye! How did it come to this?,5,SpongeBob SquarePants,69,14
11477,Squidward,10, You called Ms. Gristlepuss a disgusting old prune and you threatened her with a french-fry strainer.,5,SpongeBob SquarePants,101,16
11478,Mr. Krabs,10," Well, I didn't know her husband was the chief of police!",5,SpongeBob SquarePants,57,11
11482,Squidward,10, How long has he been standing over there?,5,SpongeBob SquarePants,42,8
11483,SpongeBob,10,"  Uh, 4 days.",5,SpongeBob SquarePants,13,3
11484,Mr. Krabs,10, It's no use!  I'm ruined! ,5,SpongeBob SquarePants,27,5
11485,SpongeBob,10," You know, it's too bad. The only way to make Krabby Patties again would be if you opened up a place that didn't look like a restaurant and did it secretly.",5,SpongeBob SquarePants,156,31
11486,Mr. Krabs,10,  That's it! A secret Krusty Krab.!  And I know just where to open it.,5,SpongeBob SquarePants,70,14
11487,Mr. Krabs,10," There ya are, Betsy! All good as new! ",5,SpongeBob SquarePants,39,8
11488,SpongeBob,10," Mr. Krabs, I-",5,SpongeBob SquarePants,14,3
11489,Mr. Krabs,10, ,5,SpongeBob SquarePants,1,0
11490,SpongeBob,10," Whoa, sorry. I was just wondering-",5,SpongeBob SquarePants,35,6
11491,Mr. Krabs,10," You know, lad, I can remember a time when people used to knock before entering someone else's home!",5,SpongeBob SquarePants,100,18
11492,SpongeBob,10," Yeah, but...this is my home.",5,SpongeBob SquarePants,29,5
11493,Mr. Krabs,10," Oh, yeah...",5,SpongeBob SquarePants,12,2
11494,Patrick,10, Hey guys!,5,SpongeBob SquarePants,10,2
11495,SpongeBob,10," Hey, Patrick! Thanks for helping out today!",5,SpongeBob SquarePants,44,7
11496,Patrick,10," You bet! Now, where do you want these extra buns? ",5,SpongeBob SquarePants,51,10
11497,SpongeBob,10,"  Patrick, that bag is totally empty.",5,SpongeBob SquarePants,37,6
11498,Patrick,10, Oops.,5,SpongeBob SquarePants,6,1
11499,Plankton,10," Happy day, Karen! That fool Krabs changed the name of his restaurant to the closed Krab! Everyone will think it's closed, and come eat here instead! He'll be ruined by tomorrow!  What an idiot!",5,SpongeBob SquarePants,194,34
11501,Plankton,10, What?,5,SpongeBob SquarePants,6,1
11503,Plankton,10," Banned? Then that means, my day of reckoning has come at last! I won, I tell you! I've won! And what better way than by default? ",5,SpongeBob SquarePants,130,26
11505,Plankton,10," Oh, out to celebrate.  Don't wait up for me! ",5,SpongeBob SquarePants,46,9
11514,Plankton,10," Excuse me, gents! But what's with all the hullabaloo?",5,SpongeBob SquarePants,54,9
11516,Plankton,10, Krabby Patty?! ,5,SpongeBob SquarePants,16,2
11517,Patrick,10,"  Thank you, come again!  Can I help whoever's next, please?  What's the password, please?",5,SpongeBob SquarePants,90,14
11518,Plankton,10," What are you talking about, you gargantuan buffoon?",5,SpongeBob SquarePants,52,8
11519,Patrick,10, That's it!  Come right in!,5,SpongeBob SquarePants,27,5
11520,Plankton,10, Curse you! ,5,SpongeBob SquarePants,12,2
11522,Squidward,10," So, would you like to secret-size that for two dollars more?",5,SpongeBob SquarePants,61,11
11524,Mr. Krabs,10," Hey, Squidwart. You haven't seen any sign of... you know...  the cops! Have ya?",5,SpongeBob SquarePants,80,14
11525,Squidward,10," Did you just call me ""Squidwart""?",5,SpongeBob SquarePants,34,6
11526,Mr. Krabs,10," Okay, thanks. I'm gonna see what SpongeBob's doing.  Hey, SpongeBob! SpongeBob?  SpongeBob? What are you doing under the table?",5,SpongeBob SquarePants,128,19
11527,SpongeBob,10," If Krabby Patties are illegal now, aren't we breaking the law?",5,SpongeBob SquarePants,63,11
11528,Mr. Krabs,10," There's an old saying, lad. What doesn't kill ya... usually succeeds in the second attempt.",5,SpongeBob SquarePants,92,15
11529,SpongeBob,10, But what does that have to do with making Krabby Patties?,5,SpongeBob SquarePants,58,11
11530,Mr. Krabs,10," Nothing! But if don't get out there and start cooking, I'll make ya start taking weekends off!",5,SpongeBob SquarePants,95,17
11531,SpongeBob,10,  Nooooooo!,5,SpongeBob SquarePants,11,1
11532,Plankton,10,"  So, Mr. Krabs is operating under the table, huh? Well, two can play at that game!",5,SpongeBob SquarePants,83,16
11533,Plankton,10,  Being a ruthless mastermind sure takes a lot outta here. ,5,SpongeBob SquarePants,59,10
11535,Plankton,10," Cops, I need you!",5,SpongeBob SquarePants,18,4
11537,Patrick,10,"  What's the pas-  Nope, that's not it!",5,SpongeBob SquarePants,39,7
11539,Mr. Krabs,10," Oh, Ms. Gristlepuss! I'm sorry we sold Krabby Patties. But do you really have to send us to jail?",5,SpongeBob SquarePants,98,19
11545,SpongeBob,10, Ms. Gristlepuss! Look out!,5,SpongeBob SquarePants,27,4
11547,SpongeBob,10, Your shoe's untied!,5,SpongeBob SquarePants,20,3
11551,SpongeBob,10,  ♪La la la la la la la la laaaaaaaa!♪ Really neat. ,5,SpongeBob SquarePants,56,11
11553,SpongeBob,10, ♪Treat that's neat!♪,5,SpongeBob SquarePants,25,3
11556,SpongeBob,10, Does that mean you're not sending us to the Slammer?,5,SpongeBob SquarePants,53,10
11558,SpongeBob,10, Don't forget the spatula! ,5,SpongeBob SquarePants,27,4
11560,Plankton,10,"  Darn it! Argh! Once again, so close and yet so far! When am I gonna- oh! ",5,SpongeBob SquarePants,75,16
11562,Plankton,10, Oh dear. ,5,SpongeBob SquarePants,10,2
11570,Squidward,101, Oh.  Hello. Hello.  Hellooo!,6,SpongeBob SquarePants,29,4
11572,Squidward,101,"  This isn't Squilliam Fancyson, my life long rival who I met in high school band class, is it?",6,SpongeBob SquarePants,95,18
11574,Squidward,101," I was, until you called.",6,SpongeBob SquarePants,25,5
11576,Squidward,101," Wait, why did you ask me if I was watching House Fancy?",6,SpongeBob SquarePants,56,12
11578,Squidward,101, Who's that talking in the background?,6,SpongeBob SquarePants,38,6
11587,Squidward,101," Hey, that's no better than my house! ",6,SpongeBob SquarePants,38,7
11590,Squidward,101,  It's simply glorious!,6,SpongeBob SquarePants,23,3
11617,Squidward,101," Hello, my name is Squidward Tentacles, and my house is far fancier than that slob Squilliam's!",6,SpongeBob SquarePants,95,16
11619,Squidward,101, Really!,6,SpongeBob SquarePants,8,1
11621,Squidward,101,  Two hours? But I haven't even got time to wash my hair.  There's a stain on the rug! I'll just use this chair to hide it. There we go. Now I'll just...  There's a hideous hole in the wall! I'll just use this painting to cover it up. Perfect.  Oh no!  I'll never get this place in shape in time!  SpongeBob! How long have you been spying on me?,6,SpongeBob SquarePants,345,69
11622,SpongeBob,101, Umm... What day is it?,6,SpongeBob SquarePants,23,5
11623,Squidward,101," It's the day you go away, and never come back.",6,SpongeBob SquarePants,47,10
11624,SpongeBob,101," But Squidward, if I do that, then how am I going to help you get your house ready for the big TV show?",6,SpongeBob SquarePants,103,23
11625,Squidward,101, How'd you know about that?,6,SpongeBob SquarePants,27,5
11626,SpongeBob,101, I was spying on you.,6,SpongeBob SquarePants,21,5
11627,Squidward,101," Do you want me to get the cops down here again? Because...  All right, fine. But one slip up, and you are out of here. Comprendo? ",6,SpongeBob SquarePants,131,26
11628,SpongeBob,101," Mucho comprendo, Señor Habanero! ",6,SpongeBob SquarePants,35,4
11629,Squidward,101," All right, first of all I'm going to give you something so simple, that a person without a brain could even get it done right.",6,SpongeBob SquarePants,127,25
11630,SpongeBob,101," Well that's good, because I lent my brain to Patrick for the weekend.",6,SpongeBob SquarePants,70,13
11631,Squidward,101, Really?,6,SpongeBob SquarePants,8,1
11632,SpongeBob,101," No, not really... He traded me these 2 chocolate bars for it.",6,SpongeBob SquarePants,62,12
11633,Squidward,101, I don't care! Just use this paint to cover up that faded spot on the wall right there. Don't touch anything else!,6,SpongeBob SquarePants,114,22
11634,SpongeBob,101, Okay. ,6,SpongeBob SquarePants,7,1
11635,Squidward,101," SpongeBob, what was that noise?  Skin me alive and drench me in boiling oil! What have you done to my living room? I told you just to paint the faded spot.",6,SpongeBob SquarePants,156,31
11636,SpongeBob,101," Well, it all looked kinda faded. ",6,SpongeBob SquarePants,34,6
11637,Squidward,101," Never mind! Maybe it won't show up on camera. Here, help me move this sofa.",6,SpongeBob SquarePants,76,15
11638,SpongeBob,101," You got it, Squiddy. Where are we moving her to?",6,SpongeBob SquarePants,49,10
11639,Squidward,101," Hang on, I'm trying to get the grip on the thing. Now don't move it until I say...  Ow! Okay, it's on my foot. Now don't...  Ow!",6,SpongeBob SquarePants,129,27
11640,SpongeBob,101, Okay. ,6,SpongeBob SquarePants,7,1
11641,Squidward,101," Ow! SpongeBob, I told you not to move it until I say...  Ow! Why do you keep moving it?",6,SpongeBob SquarePants,88,19
11642,SpongeBob,101, Cause you keep saying ow! ,6,SpongeBob SquarePants,27,5
11643,Squidward,101," I don't need you, I can move it myself. ",6,SpongeBob SquarePants,41,9
11644,SpongeBob,101," Wow Squidward, you're so strong!  And you split your sofa in half! It'll be really easy to move now. ",6,SpongeBob SquarePants,102,19
11645,Squidward,101," Oh no, they're already here! Go get a vacuum and clean up all the sofa bits. I've gotta run upstairs and dress my wound!",6,SpongeBob SquarePants,121,24
11646,SpongeBob,101," Roger!  Okay, Squidward, found the vacuum! Squidward? Well, I'll just vacuum for him. Hmm, Squidward's house is really messy. I'm going to need some extra power. ",6,SpongeBob SquarePants,163,26
11647,Squidward,101," Okay, SpongeBob, I finished... What the? ",6,SpongeBob SquarePants,42,6
11648,SpongeBob,101," Don't worry, Squidward! I'll turn it off. ",6,SpongeBob SquarePants,43,7
11649,Squidward,101," Come out of there.  Uh, hang on please.  Please, just one more minute Nick! ",6,SpongeBob SquarePants,77,14
11650,Patrick,101," Who's Nick? Sorry Squidward. I couldn't wait any longer, I've gotta use your toilet. No questions! Thanks.  Phew! I wouldn't go in there for a couple days. Or weeks. ",6,SpongeBob SquarePants,167,29
11652,Patrick,101," Oh, hey Squidward, if you see SpongeBob, can you give him his brain back? I was borrowing it for the weekend. I'll just set it here.  See ya! ",6,SpongeBob SquarePants,143,28
11653,SpongeBob,101, Thank you Patrick! ,6,SpongeBob SquarePants,20,3
11654,Squidward,101, Oh no! ,6,SpongeBob SquarePants,8,2
11659,Squidward,101, I have-... I have?,6,SpongeBob SquarePants,19,4
11661,Squidward,101," Why, yes. I've studied him for... years! ",6,SpongeBob SquarePants,42,7
11663,Squidward,101, Yay! ,6,SpongeBob SquarePants,6,1
11664,SpongeBob,101," Oh, don't worry Squilliam, I might be able to get Squidward to help redecorate your house. He is a personal friend of mine. You know success hasn't gone to his head? He is still the same old great guy, he has not changed. ",6,SpongeBob SquarePants,223,43
11672,Mr. Krabs,102," Ah, it goes in like steel wool, but comes out like an angel from heaven.",6,SpongeBob SquarePants,73,15
11674,Mr. Krabs,102," Ooh, well, this one time I...",6,SpongeBob SquarePants,30,6
11676,Mr. Krabs,102," I didn't think so. Ooh wait, I almost forgot me coupons!  There's a couple double ones in there too.",6,SpongeBob SquarePants,101,19
11678,Mr. Krabs,102, What does that mean?,6,SpongeBob SquarePants,21,4
11680,Mr. Krabs,102," No, wait! I'll take 'em.",6,SpongeBob SquarePants,25,5
11682,Mr. Krabs,102," Come to papa! Come to papa!  Yay! Two nickels.  Hey, that's SpongeBob out there!  What in blue blazes is that boy up to?  Well I'll be a geriatric jellyfish! SpongeBob found a penny! A bright shiny penny just sitting there, and he picked it right up! Huh, I can remember the whole thing as if it just happened a moment ago. ",6,SpongeBob SquarePants,325,61
11683,SpongeBob,102,  Sir... Sir! ,6,SpongeBob SquarePants,14,2
11685,Mr. Krabs,102, What?,6,SpongeBob SquarePants,6,1
11687,Mr. Krabs,102," Ooh, I am?",6,SpongeBob SquarePants,11,3
11689,Mr. Krabs,102," Interesting how things work out that way. Some folks just walk along and stumble over free money, while others, others, they work! ",6,SpongeBob SquarePants,132,22
11692,Mr. Krabs,102," I mean why couldn't I have just walked along and found it? I have legs too you know!  How about a little music.  Okay, okay, get a grip Krabs. Just concentrate on driving.  Okay, getting all worked up over a little coin.  Ah, it must just be the full moon. Wait a second.  I gotta have that penny!  Good morning, SpongeBob.",6,SpongeBob SquarePants,324,61
11693,SpongeBob,102," Good morning, Mr. Krabs!",6,SpongeBob SquarePants,25,4
11694,Mr. Krabs,102, Find anything special lately?,6,SpongeBob SquarePants,30,4
11695,SpongeBob,102, Yae-yes!,6,SpongeBob SquarePants,9,1
11696,Mr. Krabs,102, Really?,6,SpongeBob SquarePants,8,1
11697,SpongeBob,102, Yup!,6,SpongeBob SquarePants,5,1
11698,Mr. Krabs,102," And you want to share it with your old uncle Krabs, don't you boy?",6,SpongeBob SquarePants,67,14
11699,SpongeBob,102, Of course!,6,SpongeBob SquarePants,11,2
11700,Mr. Krabs,102," Great! Well, share it with me!",6,SpongeBob SquarePants,31,6
11701,SpongeBob,102,"  I already am sharing it with you, Mr. Krabs.",6,SpongeBob SquarePants,46,9
11702,Mr. Krabs,102, Wha.. What?,6,SpongeBob SquarePants,12,2
11703,SpongeBob,102," The thing I found was a bright, shiny, new... day! Well I'll be in the kitchen if you need me.  Good morning, Squidward!",6,SpongeBob SquarePants,121,23
11704,Squidward,102, Don't talk to me.,6,SpongeBob SquarePants,18,4
11705,SpongeBob,102, Mr. Krabs seems to be in a good mood today.,6,SpongeBob SquarePants,44,10
11706,Squidward,102, That counts as talking. ,6,SpongeBob SquarePants,25,4
11707,SpongeBob,102, Whoa! Hello again Mr. Krabs.,6,SpongeBob SquarePants,29,5
11708,Mr. Krabs,102," Hello, SpongeBob.",6,SpongeBob SquarePants,18,2
11709,SpongeBob,102, What can I do you for?,6,SpongeBob SquarePants,23,6
11710,Mr. Krabs,102, Can I borrow a penny?,6,SpongeBob SquarePants,22,5
11711,SpongeBob,102," A penny? Sure.  Hmm, sorry. All out of pennies right now.",6,SpongeBob SquarePants,58,11
11712,Mr. Krabs,102, But did you check all your pockets?,6,SpongeBob SquarePants,36,7
11713,SpongeBob,102," Well, I thought I did.",6,SpongeBob SquarePants,23,5
11714,Mr. Krabs,102, Front pockets? ,6,SpongeBob SquarePants,16,2
11715,SpongeBob,102," Hmm, no.",6,SpongeBob SquarePants,9,2
11716,Mr. Krabs,102, Back? ,6,SpongeBob SquarePants,7,1
11717,SpongeBob,102, Hmm-mm.,6,SpongeBob SquarePants,8,1
11718,Mr. Krabs,102, Shirt pockets? ,6,SpongeBob SquarePants,16,2
11719,SpongeBob,102, Nuh-uh.,6,SpongeBob SquarePants,8,1
11720,Mr. Krabs,102, Shoe pockets?,6,SpongeBob SquarePants,14,2
11721,SpongeBob,102,"  Shoe pockets. Oh, Mr. Krabs, that is just ridiculous.",6,SpongeBob SquarePants,55,9
11722,Mr. Krabs,102, It is?,6,SpongeBob SquarePants,7,2
11723,SpongeBob,102," Well, I do have a tie pocket though.  No, not in there either.",6,SpongeBob SquarePants,63,13
11724,Mr. Krabs,102," Hey, maybe it fell in your sock.",6,SpongeBob SquarePants,33,7
11725,SpongeBob,102," Well, I...",6,SpongeBob SquarePants,11,2
11726,Mr. Krabs,102, Did you check there?  Uhh?,6,SpongeBob SquarePants,27,5
11727,SpongeBob,102," Hey look, it's my brain!  Hey where's it going?  Ooh, there.  Aha!  Not so fast, little guy. There now. Yes, I know. Come here. ",6,SpongeBob SquarePants,129,24
11728,Mr. Krabs,102, Uhh?,6,SpongeBob SquarePants,5,1
11729,SpongeBob,102, What's the matter Mr. Krabs? Didn't you know I was a brain whisperer?,6,SpongeBob SquarePants,70,13
11730,Mr. Krabs,102," So, uhh, no penny, huh?",6,SpongeBob SquarePants,24,5
11731,SpongeBob,102, Nope.,6,SpongeBob SquarePants,6,1
11732,Mr. Krabs,102, Darn! ,6,SpongeBob SquarePants,7,1
11733,Squidward,102, Me too.,6,SpongeBob SquarePants,8,2
11734,SpongeBob,102, Do you think we should walk out back to investigate?,6,SpongeBob SquarePants,53,10
11735,Squidward,102, Never. ,6,SpongeBob SquarePants,8,1
11736,SpongeBob,102, The sounds are coming from back here. What the? ,6,SpongeBob SquarePants,49,9
11737,Mr. Krabs,102, Careful with those marquee ladders!,6,SpongeBob SquarePants,36,5
11738,SpongeBob,102," Hey, Mr. Krabs, you made your own movie theater!",6,SpongeBob SquarePants,49,9
11739,Mr. Krabs,102, Yes I did.,6,SpongeBob SquarePants,11,3
11740,SpongeBob,102, Yay!,6,SpongeBob SquarePants,5,1
11741,Mr. Krabs,102," And you're just in time for the grand opening!  Step right up folks, and witness a spell binding tale chock full of adventure, and action, and thrills... ",6,SpongeBob SquarePants,155,27
11744,Mr. Krabs,102, ...witness the terrifying challenges overcome by... by...,6,SpongeBob SquarePants,58,7
11746,Mr. Krabs,102, by a... by a plucky young sponge.,6,SpongeBob SquarePants,34,7
11747,SpongeBob,102, Just like me!,6,SpongeBob SquarePants,14,3
11748,Squidward,102, Does a movie like that even exist?,6,SpongeBob SquarePants,35,7
11750,Mr. Krabs,102," Uhh, well, actually I was going to show you this flip book and...",6,SpongeBob SquarePants,66,13
11751,Squidward,102, A flip book?,6,SpongeBob SquarePants,13,3
11753,Mr. Krabs,102," No, wait. Noooooooo!",6,SpongeBob SquarePants,21,3
11754,SpongeBob,102," Mr. Krabs, can I see the movie now? Please?",6,SpongeBob SquarePants,44,9
11755,Mr. Krabs,102, Of course you can lad! You just gotta give me one penny.,6,SpongeBob SquarePants,57,12
11756,SpongeBob,102," But, but...",6,SpongeBob SquarePants,12,2
11757,Mr. Krabs,102, But what?,6,SpongeBob SquarePants,10,2
11758,SpongeBob,102," But, I really don't have a penny.  Huh, that's too bad. I really wanted to see that movie. Oh well. ",6,SpongeBob SquarePants,101,20
11759,Squidward,102," Good evening,  and  welcome to the  Krusty Krab semi-annual charity night.",6,SpongeBob SquarePants,75,11
11760,SpongeBob,102, Squidward? You look beautiful!,6,SpongeBob SquarePants,31,4
11761,Squidward,102, Let me show you to your table.,6,SpongeBob SquarePants,31,7
11762,SpongeBob,102, My table? Fancy.  My very own name tag! ,6,SpongeBob SquarePants,41,8
11763,SpongeBob,102, Mr. Krabs.,6,SpongeBob SquarePants,11,2
11764,Mr. Krabs,102,  Yes?,6,SpongeBob SquarePants,6,1
11765,SpongeBob,102, I would like to donate a penny.,6,SpongeBob SquarePants,32,7
11766,Mr. Krabs,102, You would?,6,SpongeBob SquarePants,11,2
11767,SpongeBob,102, If I only had one! ,6,SpongeBob SquarePants,20,5
11768,Mr. Krabs,102," Hiding it, somewhere. Hiding it. Hiding it. Hiding it. Hiding it.",6,SpongeBob SquarePants,66,11
11770,Mr. Krabs,102, What's that? You! You know where!,6,SpongeBob SquarePants,34,6
11772,Mr. Krabs,102, Tell where!,6,SpongeBob SquarePants,12,2
11774,Mr. Krabs,102," Hiding it, inside,  in there, somewhere. ",6,SpongeBob SquarePants,42,6
11775,SpongeBob,102,  Mr. Krabs! What is this metal detector doing on the floor? These should only be stored on special racks.  And you're not wearing your metal detector handling gloves!,6,SpongeBob SquarePants,167,28
11776,Mr. Krabs,102," SpongeBob, I just wanted that penny you found on the street yesterday. Oh, I'm sorry.",6,SpongeBob SquarePants,86,15
11777,SpongeBob,102," Mr. Krabs, that wasn't a penny. ",6,SpongeBob SquarePants,33,6
11778,Mr. Krabs,102, It wasn't?,6,SpongeBob SquarePants,11,2
11779,SpongeBob,102," No, that was just a dried up piece of gum for my collection. I think it's peppermint.",6,SpongeBob SquarePants,86,17
11780,Mr. Krabs,102," Ah ha ha ha ha hooooooooo hoo. I fell so relieved. There was no penny after all! Well, I'll be going now, You can keep the metal detector, SpongeBob. See ya!",6,SpongeBob SquarePants,158,31
11781,SpongeBob,102," Thanks, Mr. Krabs. Hey, Gary, you can play with that.  Hey, this isn't gum at all.  It's just a dumb old $500 bill. This won't go with my chewed up gum collection. Ah well, good night, Gary. ",6,SpongeBob SquarePants,192,37
11782,Mr. Krabs,102," Penny, must have buried it around here somewhere. I'll just have to keep digging.",6,SpongeBob SquarePants,82,14
11789,SpongeBob,103," ♪Ooooooooo-oooooooohhh-woh-woooh, how much chum could a sea slug chug if a sea slug could chug...♪  Mr. Krabs, you gotta get out here! It's a code blue situation!",6,SpongeBob SquarePants,167,27
11790,Mr. Krabs,103, Please deposit 25 cents to continue this call.,6,SpongeBob SquarePants,47,8
11791,SpongeBob,103," Sure thing, Mr. K.  Mr. Krabs, you gotta get out here! It's a code blue situation!",6,SpongeBob SquarePants,83,16
11792,Mr. Krabs,103, Code blue?!  What's the matter boy?,6,SpongeBob SquarePants,36,6
11793,SpongeBob,103, I think Plankton wants to destroy our way of life.,6,SpongeBob SquarePants,51,10
11794,Mr. Krabs,103, Man alive!  He's taking us down!,6,SpongeBob SquarePants,33,6
11795,Plankton,103,"  Get ready Krabs,  for the surprise of your life!",6,SpongeBob SquarePants,50,9
11796,Mr. Krabs,103," Brace yourself!  Huh?  Plankton's destroying the Chum Bucket? Heh, heh, I guess he's finally given up on the restaurant business. Couldn't take the competition.  What is that? ",6,SpongeBob SquarePants,177,27
11797,Plankton,103," Greetings, citizens of Bikini Bottom. Behold my imperial Chum Coliseum!  I vow to introduce to this fair city, culture, in the form of hand to hand grappling!  I intend to enrich your lives culturally, by exhibiting the moist spectacle of gladiators in mortal conflict!  My corporate underwriters told me to mention that it's free!  Come one! Come all! Remember, kids love gladiators.",6,SpongeBob SquarePants,385,62
11800,Plankton,103,"  Oh, Karen, even though you're just a frigid machine, your circuits must be welling up with emotion at my latest achievement.",6,SpongeBob SquarePants,126,21
11802,Plankton,103, This will prove to be my greatest evil scheme ever!,6,SpongeBob SquarePants,52,10
11804,Plankton,103," I can still feel the burns, which is why I removed all molten liquid from this maneuver. And it's why this time, I will be the one with all the customers. And Krabs will be the pathetic one, in an empty restaurant, stuck with a computer for a wife.  Uh, sorry, honey.",6,SpongeBob SquarePants,268,52
11805,SpongeBob,103," Wow, looks like Plankton finally has some customers!",6,SpongeBob SquarePants,53,8
11806,Mr. Krabs,103," I agree, it's very suspicious. And he may have lured a few of our fair-weather customers in with some cheap entertainment, but our loyal customers, know quality when they taste it! So let's get in there, and serve 'em up a burger they tell their grand-guppies about!  Where's all my loyal customers?",6,SpongeBob SquarePants,300,52
11807,Squidward,103, They've all taken their grand-guppies to see the guts and gore across the street.,6,SpongeBob SquarePants,82,14
11808,Mr. Krabs,103," That lower life form can slender my name, and desecrate me mother's grave,",6,SpongeBob SquarePants,75,13
11810,Mr. Krabs,103," .....but when he steals me customers, then I push back! Gentlemen, to the coliseum!  This reeks of evil. And i'm going to sniff out the source. ",6,SpongeBob SquarePants,145,26
11811,Plankton,103," Welcome one and all, to the first bi-annual big arena of annihilation! ",6,SpongeBob SquarePants,72,12
11812,SpongeBob,103, Whoo!,6,SpongeBob SquarePants,6,1
11813,Plankton,103," Brought to you by yours truly. So without further ado, let the mauling begin! ",6,SpongeBob SquarePants,79,14
11815,SpongeBob,103," Yay!  Whoo! Isn't this a boat load of fun, Squidward? I can't wait to see the poor sucker who has to go against that beast!",6,SpongeBob SquarePants,124,25
11816,Squidward,103, You call this fun? This is just cheap uncultured lay sport.,6,SpongeBob SquarePants,60,11
11817,Plankton,103," Now, release the opponent.",6,SpongeBob SquarePants,27,4
11818,SpongeBob,103, Yes!  Patrick? How could they? This is horrible! ,6,SpongeBob SquarePants,50,8
11819,Squidward,103, This is fabulous! ,6,SpongeBob SquarePants,19,3
11820,Plankton,103, Enough dilly-dallying. Send out the blood sausages! ,6,SpongeBob SquarePants,53,7
11821,Patrick,103, All right! ,6,SpongeBob SquarePants,12,2
11822,Plankton,103," That pink dimwit doesn't stand a chance with those sausages around his throat! As soon as the smell of sausage hits that ravenous lionfish's nostrils, he'll be all over Patrick like mold on a shower curtain!",6,SpongeBob SquarePants,208,36
11824,Patrick,103," Ohh. Nice kitty.  Here, kitty. Want a sausage? A nice, delicious, tasty...... sausage.  Spawn of a gefilte fish! ",6,SpongeBob SquarePants,114,18
11825,SpongeBob,103,  I can't sit here and watch this! That's my best friend out there!  Patrick!,6,SpongeBob SquarePants,77,14
11826,Patrick,103," What? Oh, oh it's you. Hey, how's it going buddy?",6,SpongeBob SquarePants,50,10
11827,SpongeBob,103," No time for chit chat, get in!  Hurry up Nelly!",6,SpongeBob SquarePants,48,10
11830,Mr. Krabs,103, Mom!,6,SpongeBob SquarePants,5,1
11831,Plankton,103," This is ridiculous! I order a simple brutal mauling for my denizens, and I get a circus act! Time for phase 2!  Chum on a stick! Get your fresh chum right here! Some chum for you miss?",6,SpongeBob SquarePants,185,37
11833,Plankton,103," Here, take this one. It's fresh and warm, like my hospitality.",6,SpongeBob SquarePants,63,11
11835,Plankton,103, Just ten dollars please.,6,SpongeBob SquarePants,25,4
11837,Mr. Krabs,103, Exactly!,6,SpongeBob SquarePants,9,1
11838,Plankton,103," You don't get this kind of entertainment with a Krabby Patty, do you?",6,SpongeBob SquarePants,70,13
11840,Plankton,103," Ten dollars, or the fight's off!",6,SpongeBob SquarePants,33,6
11842,Plankton,103, Here you are. I'm sure I've made a satisfied customer of you all ready.,6,SpongeBob SquarePants,72,14
11844,Plankton,103," Oh, just the usual ingredients. Some jellyfish squeezings, whale blubber, sea horse snout, and a sprinkle of anchor rust. ",6,SpongeBob SquarePants,123,19
11846,Plankton,103," Now, I've been waiting for 20 years to have the amount of customers Krabs sees everyday! And I won't let that be ruined because the show's ""boring"", or the food's ""inedible."" So sit down, enjoy the show and buy some chum! ",6,SpongeBob SquarePants,223,41
11847,SpongeBob,103, What do we do now Patrick?,6,SpongeBob SquarePants,27,6
11848,Patrick,103," Don't worry, I'm all ready doing it. ",6,SpongeBob SquarePants,38,7
11849,SpongeBob,103," NO!  Patrick, now is not the time for eating, now is the time to avoid being eaten by that giant... Huh?  That's it Patrick! He's not chasing us, he's chasing those tasty, tender, delicious, succulent sausages around your neck. ",6,SpongeBob SquarePants,229,39
